pKa	Source	ROMol	ISO_SMI	marvin_pKa
7.8	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e594c80>	CS(=O)(=O)[O-].C[n+]1ccccc1C=NO	
9.67	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d81d3f0>	COCCN	
10.8	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e53dd90>	CCN(CC)Cc1ccc(Nc2c3ccccc3[n+](C)c3c2[nH]c2ccccc23)cc1O.[Cl-]	
3.96	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e43ae30>	Cc1cc(C)n(C)n1	
9.3	Morgenthaler	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea20900>	F[C@H]1CNCC[C@H]1Cc1ccccc1	
3.49	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e0b2880>	Cc1cnc2cncnc2n1	
5.7	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8ac0b0>	Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1	
7.83	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dcd35a0>	Cc1ccc(S(=O)(=O)N(CCNCC(=O)[O-])CC(=O)[O-])cc1	
8.35	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6ccba0>	NCc1ccc(S(N)(=O)=O)cc1	
8.26	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6db1b370>	NC(CC(=O)[O-])C(=O)NC(CC(=O)[O-])C(=O)[O-]	
6.6	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dbe5e00>	CCCCCCCCCCN(CC(O)CC)CC(O)CC	
7.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e583b50>	CCN(CC)CCS/C(=N\O)C(=O)c1ccc(Br)cc1.Cl	
6.21	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e609e00>	COC(=O)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1	
4.3	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dc8dcb0>	CN(C)c1ccc(/C=C/c2cc[n+]([O-])cc2)cc1	
6.37	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dba4350>	O=S(=O)(Nc1ncccn1)c1ccc(O)cc1	
9.45	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea72f10>	CC(C)NCC(O)COc1cccc2ccccc12	
10.1	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5958c0>	CC1(C)CCN1Cc1ccc2c(c1)OCO2	
9.44	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6daff530>	Oc1ccc(Nc2ccc(O)cc2)cc1	
6.49	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e7960a0>	CON(C)C(=O)c1cn2c(C)c(C)nc2c2c1CCC(c1ccccc1)O2	
12.9	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dc49150>	Oc1cc(-c2ccccc2)n(-c2ccccc2)n1	
10.02	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6de01e70>	CC(C)N(CCc1ccccc1)CCc1ccccc1	
7.16	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e379850>	C1CCN(N2CCCC2)C1	
3.7	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5f7ca0>	CC(C)CN1C(=O)CN(Cc2ccc(-c3cccc(CN4CCS(=O)(=O)CC4)n3)cc2)C1=O	
8.98	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dfd7f40>	CC(=O)c1cc(C(C)=O)[nH]n1	
4.1	Novartis	<rdkit.Chem.rdchem.Mol object at 0x7efb6eab42e0>	CC(C(=O)[O-])c1ccc2c(c1)C(=O)c1ccccc1CS2	3.67
4.7	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e621380>	Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCc1ccc2c(N)noc2n1	
7.53	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8993f0>	CCN(CC)CCn1ccc(=O)c(O)c1C	
8.1	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e64d7e0>	CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CNC(=O)c3cc(O)c(O)cc3Br)CS[C@H]12)c1csc(N)n1)C(=O)O	
5.3	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6de00040>	C[NH+](C)CCCCN1C=Nc2cccc3cccc1c23	
4.4	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e379ee0>	Fc1cccc2[nH]cnc12	
9.66	Avdeef	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea47450>	CCN(CC)C(=O)Nc1ccc(OCC(O)CNC)c(C(C)=O)c1	
9.48	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e4aa650>	CSC1=NC(C)(C)C(O)=N1	
3.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6eac0660>	Cc1c(Cc2ccccc2S(=O)(=O)c2ccccc2)c(-c2ccccc2)nn1CC(=O)O	
6.39	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dfd5850>	OC(O)=C(O)c1ccccc1	
9.15	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5640b0>	Cc1nonc1/C=N/O	
9.8	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e7f6f80>	CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(N)ccc23)cc1	
6.08	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e879690>	C[C@@H](CO)N1C(=O)c2cccc(NC(=O)c3ccncc3)c2O[C@@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)[C@@H]1C	
8.03	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6de131b0>	CNC(=O)c1ccccc1O	
9.27	Avdeef	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea46b90>	CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12	
11.7	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e53daf0>	C[n+]1c2ccccc2c(NCCCN2CCCCC2)c2[nH]c3ccccc3c21.[Cl-]	
7.0	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6c2ea0>	N#Cc1cc(C(F)(F)F)ccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21	
9.47	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8789e0>	COc1ccc(F)cc1CNCCCNc1ccnc2cc(CC3CCCCC3)ccc12	
3.34	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e06d2a0>	O=C(O)/C=C/C(=O)c1ccccc1	
8.76	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e820740>	N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2	
6.17	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e70ec00>	CC1C(=O)c2ccccc2C1=O	
9.8	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dd28740>	CCN(CC)CCNc1nc(C)cc(N)n1	
4.01	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e0f86d0>	Nc1cccc2cccnc12	
4.84	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dc8dee0>	O=P([O-])(O)c1cn2c([nH+]1)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]2CO	
9.35	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6f2030>	O=S1(=O)NCN(CCF)c2ccc(Cl)cc21	
3.7	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e0b03c0>	COCCNc1cccc(OC)c1	
6.66	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e106f80>	CN1CCCCCN1C	
6.36	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e698270>	CCCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3c(C(N)=O)cccc23)c(OC)c1.Cl	
7.18	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e77f1b0>	NCC1(Cc2n[nH]c(=O)o2)CCCCC1	
5.52	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d94adc0>	Oc1ccc2nc3ccccc3cc2c1	
6.6	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e424e40>	CCN(CC)Cc1c(O)ccc2c(CCCCC(=O)O)cc(=O)oc12	
3.92	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e0fadc0>	Nc1cccc2ccccc12	
3.0	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea822d0>	O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2ccccc12	
7.6	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6222d0>	O=C(/C=N/O)c1cnc(OCC2CCN(Cc3ccccc3)CC2)nc1	
6.7	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e620f90>	Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NCc1ccc2c(N)[nH]nc2n1	
9.16	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e0b3df0>	COc1ncnc2nc[nH]c12	
10.65	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d990820>	CCCN	
9.47	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e867d80>	Fc1ccc(Cc2ccc3c(NCCCNCc4ccc5c(c4)OCO5)ccnc3c2)c(Cl)c1	
2.5	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d81e1f0>	c1nc[nH]n1	
7.96	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e59da10>	CC[NH+](C)CCOCCN(C)C	
3.75	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dfd4040>	Cc1cc(Cl)ccc1C(=O)O	
9.58	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e3bf8b0>	CCOC(=O)c1ccc(CCN)cc1	
11.8	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6ddbb0d0>	Cc1nn(-c2ccccc2)c(O)c1Cc1ccccc1	
6.43	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e566e30>	O=C(NCCN1CCN(c2noc3ccccc23)CC1)c1ccc(F)cc1	
4.39	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5adee0>	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1F	
7.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e7395b0>	CC1CN(c2cc(N3CCCCCC3)nc(C3CC3)n2)C1	
8.6	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e71f370>	Oc1cccc2c1C1c3cccc[n+]3C2CC1(c1ccoc1)c1ccoc1.[Cl-]	
6.75	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dea4190>	Cc1ccc(C)c(NN=C(C#N)C#N)c1	
6.67	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e107220>	CN(C)c1cccnc1	
4.17	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6da7cba0>	Cc1ccc2c(c1)ncn2[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O	
11.35	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e4e6dc0>	C/C(=N\O)c1ccccc1	
9.41	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dabe8f0>	CC1CNCc2ccccc2OCCOc2ccccc2CN1	
9.1	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e7973e0>	O=C(Nc1cccc(OCc2ccc3c(c2)OCO3)c1)C1CCN(c2ccncc2)CC1	
9.15	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8bb370>	CC(CN)/C(N)=N/O	
8.4	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e0b1cb0>	c1ccc2c3c([nH]c2c1)CNCC3	
7.85	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d993bc0>	CC(N)CC#N	
7.75	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5af370>	CCC1(CC)C(=O)NC(=O)NC1=O	
3.53	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e026dc0>	N#Cc1ccc(-c2nnn[nH]2)cc1	
8.7	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8f2a40>	Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314	
10.65	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6ddba8f0>	CNCCCN1c2ccccc2CCc2ccccc21	
10.78	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d9ddbd0>	CN(C)CC[S-]	
8.21	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e06f610>	CCCCSC(=N)c1ccccc1	
8.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e552ea0>	Cc1noc(C2=CCC(C)NC2)n1	
5.2	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6cda80>	CCCCCNc1ccccc1	
5.86	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e795f50>	Cc1nc2c3c(c(C(=O)N(C)C)cn2c1CO)CCC(c1ccccc1)O3	
9.45	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5642e0>	O/N=C\c1cnsn1	
2.26	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e628820>	O=C1C[C@@H](C(=O)O)[C@@H](C(=O)O)O1	
5.76	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e438820>	Sc1cccc(Cl)c1	
10.9	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8ae730>	CC(C)CCN(C1=NCCN1)c1c(Br)cccc1Br	
9.84	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6db1a5e0>	Sc1nc2cc3ccccc3cc2[nH]1	
8.97	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e105690>	Oc1cccc(O)c1O	
6.5	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dc48ac0>	Cc1cc(C)c2ccc3c(C)cc(C)nc3c2n1	
6.05	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6de12960>	CCSC(=N)c1ccccc1	
8.29	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e581930>	Cc1cc(Cl)c(N=C2NCCN2)c(Cl)c1	
5.0	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dd759a0>	OC(CN1CCOCC1)C[NH+]1CCOCC1	
8.8	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e71f300>	Oc1ccc2c(c1)C1c3cccc[n+]3C2CC1(c1ccoc1)c1ccoc1.[Cl-]	
8.59	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8213f0>	COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1	
1.87	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e7c0270>	O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O	
9.51	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6de58c80>	NCCCc1ccccc1O	
9.84	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8baab0>	CCN(CC)CCO	
4.94	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e1567a0>	CNc1cccc(C)c1	
3.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e427610>	N#Cc1cc(S(=O)(=O)Nc2ncns2)ccc1Oc1ccc(Cl)cc1-c1cn[nH]c1	
10.9	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e581bd0>	C[C@@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)CCOCC(N)=N1	
7.0	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5c7d10>	N[C@H]1C[C@]1(F)c1ccc(C(F)(F)F)cc1	
7.35	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e156f80>	Cc1cc(C)nc(C)c1	
8.356	Novartis	<rdkit.Chem.rdchem.Mol object at 0x7efb6eab5690>	CCOc1ccc2nc(S(N)(=O)=O)sc2c1	7.51
6.12	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dafdbd0>	COc1ccc(OC)c2c1nc(C)n2C	
1.87	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e23f370>	Nc1cccc([I+]c2ccccc2)c1	
8.3	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e53c120>	CCNc1ccc(Nc2c3ccccc3nc3ccccc23)cc1	
8.68	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6d81fae0>	CNCCC[NH2+]C	
10.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8646d0>	Cc1ncn(O)c1CC(N)C(=O)O	
10.4	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dea7b50>	CCN(CC)CCCCCCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12	
2.23	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e0b1150>	CC(=O)N1CS(=O)(=O)C[C@H]1C(=O)O	
7.15	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6ac430>	Nc1c(NC2CC2)nc(C2CC2)nc1N1CCCCCC1	
4.98	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5f7a70>	C=Cc1ccccn1	
9.3	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6df42570>	Nc1nc([O-])c2nc[nH]c2n1	
2.8	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dafd460>	c1ccc(NCC[NH+]2CCCCC2)cc1	
8.73	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e638040>	COc1cc(/C=C/C(O)=C/C(C)=O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	
3.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e67e2d0>	O=C(C[C@@H](CCCC1CCCCC1)c1nc(C(=O)NS(=O)(=O)c2ccccc2)no1)NO	
11.0	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dba7b50>	CCCCCCCCCCCCNCCCCCCCCCCCC	
3.9	Novartis	<rdkit.Chem.rdchem.Mol object at 0x7efb6e526b90>	N#Cc1cccc(Nc2ccccc2C(=O)[O-])c1	3.88
5.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e77d150>	Cc1c(CC#N)nc2c(OCc3ccccc3)cccn12	
8.2	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5de1f0>	COc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1	
7.39	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea7eff0>	CC(C)Oc1ccc(-c2nc(-c3cccc4c3OCCN(CCCC(=O)O)C4)no2)cc1Cl	
6.32	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5dde70>	COc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1	
10.0	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6db628f0>	Cc1cc(Nc2ccc(O)cc2)cc(C)c1O	
2.4	Novartis	<rdkit.Chem.rdchem.Mol object at 0x7efb6d8b3c30>	CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1	2.58
8.75	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e67dcb0>	Cc1cccc(C)c1NC(=O)CCN	
6.19	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e566ab0>	COc1cccc(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)c1	
7.41	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e64ccf0>	Cc1cccc(C)c1COc1cccn2c(C)c(C)nc12	
9.7	Morgenthaler	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea03ed0>	CCOC(=O)CCCN	
3.08	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e333990>	CC(=O)NC(CS)C(=O)O	
7.53	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5dfae0>	C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2	
6.7	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e739150>	C[n+]1c2ccccc2c(Nc2ccc(NS(=O)(=O)CCNC(=O)CCN)cc2)c2ccccc21.[Cl-]	
4.35	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e629b60>	COc1ccc(C(=O)O)cc1C	
5.22	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dba6ff0>	O=C([O-])c1ccc2nc3ccccc3cc2c1	
7.08	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dabe570>	CCc1cc(-c2ccccc2)nnc1NCCN1CCOCC1	
8.31	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6da3ba00>	C[N+](C)(C)CCC[N+](C)(C)CCCNC(=O)/C=N/O	
9.36	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e438120>	Cl.O=c1c2cc(OCCCN3CCCCC3)ccc2nc2n1CCc1c-2[nH]c2ccccc12	
3.6	Liao	<rdkit.Chem.rdchem.Mol object at 0x7efb6ea7cf90>	CC(=O)OC(CC(=O)O)C[N+](C)(C)C	
3.43	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6cea40>	COCc1cccc(COC)n1	
8.78	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6df43ae0>	O/N=C1\CCCc2nonc21	
8.9	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6da3a650>	CCN(CC)C(C)C=C(c1cccs1)c1cccs1	
9.3	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6675a0>	O=C(Nc1cccc(C(F)(F)F)c1)Nc1cc(Cl)ccc1O	
7.5	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dc8e5e0>	O=C(CCCCN1CCOCC1)c1ccccc1	
5.68	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dbe45f0>	COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(CCC#N)CC[C@@]341	
6.87	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6da3b5a0>	O=C([O-])CN(CC(=O)[O-])Cc1nc2ccccc2[nH]1	
7.9	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e40b760>	C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)NC[C@@H](NC(=O)CCNS(=O)(=O)C(F)(F)F)c1ccccc1	
8.2	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6df8e7a0>	CN1[C@@H]2C[C@@H]3C[C@H]1[C@@H](O)[C@H]2O3	
5.5	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e64d2a0>	CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CNC(=O)c3cc(O)c(O)c(C#N)c3)CS[C@H]12)c1csc(N)n1	
7.1	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e621c40>	N[C@@H](Cc1ccccc1)C(=O)NCCC[C@H](N)C(=O)Nc1ccc(C#Cc2c(F)c(F)nc(F)c2F)cc1	
9.3	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e667a00>	CCCc1ccc(O)c(-c2cc(CCC)ccc2O)c1	
5.0	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e84c820>	O=C(O)c1c[nH]c2cc(F)c(-c3ccc([C@@H]4CCCCO4)cc3)c(F)c12	
5.62	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6eaa6110>	C=Cc1ccncc1	
7.0	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5946d0>	COc1ccc2c(c1)CCN(CCCNS(=O)(=O)c1ccccc1)C2	
9.4	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e62ab20>	N=C(N)Nc1nc(N)nc(N)n1	
4.92	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6df7d0>	COCc1[nH]c(-c2ccc(OCC(O)CNCCc3ccc(OC)c(OC)c3)cc2)nc1C	
7.7	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e6c2880>	Cc1cc([C@H]2C[C@H]3[C@@H](C)SC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)on1	
5.6	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6da392a0>	CCCCCCCCCCCCCCCCCCN(CC(O)CC)CC(O)CC	
9.07	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dee5770>	COc1cc(N)cc(C(=O)N[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1OC	
6.33	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e70fc30>	O=C(O)C12CCC(O)(CC1)CC2	
5.87	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5f6b90>	COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2cc(S(C)(=O)=O)ccc12	
2.16	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8980b0>	Cn1cc(O)c(=O)cc1CN1CCCCC1	
10.8	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5deea0>	CC(C)/C(=N\O)c1ccc(Sc2cc(F)cc(C3CCOCC3)c2)cc1	
2.95	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6dfd4ba0>	Cc1ccc(I)c(C(=O)O)c1	
4.4	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e5c7450>	COCCNC(=O)c1nc(N2CC[C@@H](NC(=O)c3[nH]c(C)c(Cl)c3Cl)[C@@H](OC)C2)sc1C(=O)O	
10.84	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8f2180>	CCN(CC)CCOc1ccc(C(=O)N2C/C(=C\c3ccccc3)C(=O)/C(=C/c3ccccc3)C2)cc1.Cl	
3.55	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e580200>	Cc1nc(COc2ccc3c(c2)[C@@H](O)[C@@H](Cc2cccnc2)CO3)ccc1Br	
5.3	Novartis	<rdkit.Chem.rdchem.Mol object at 0x7efb6eab77d0>	COc1cccc(-c2cnc(N)c(-c3ccc(C(N)=O)cc3)c2)c1	5.97
9.05	Chembl	<rdkit.Chem.rdchem.Mol object at 0x7efb6e8c28f0>	CC(C)(N)CNC(=O)CC1CCC2(CC1)OOC1(OO2)C2CC3CC(C2)CC1C3	
3.86	DataWarrior	<rdkit.Chem.rdchem.Mol object at 0x7efb6e3f9150>	CCC(C(=O)O)C(=O)N1CCCCC1	
