ID	pKa	marvin_pKa	marvin_atom	marvin_pKa_type	original_dataset
14618039	4.7	5.58	18	basic	['chembl25']
5631	10.6	10.2	0	basic	['datawarrior']
4836	5.5	6.69	0	basic	['datawarrior']
6041	10.61	10.2	0	basic	['datawarrior']
6351	9.19	9.78	4	basic	['datawarrior']
14618038	5.2	5.58	16	basic	['chembl25']
5191	10.61	10.2	0	basic	['datawarrior']
7223	11.0	10.74	0	basic	['datawarrior']
4600	10.62	10.2	0	basic	['datawarrior']
6883	8.4	9.78	4	basic	['datawarrior']
5267	6.1	9.82	4	basic	['datawarrior']
5936	6.3	9.5	4	basic	['datawarrior']
6881	6.1	9.53	4	basic	['datawarrior']
3301431	7.7	5.99	18	basic	['chembl25']
2294	10.63	10.2	0	basic	['datawarrior']
6788	11.0	10.74	0	basic	['datawarrior']
14618043	5.6	5.59	18	basic	['chembl25']
14618041	5.9	5.72	16	basic	['chembl25']
14618103	10.615	10.2	12	basic	['datawarrior', 'chembl25']
6435	7.8	9.78	4	basic	['datawarrior']
5935	6.2	9.82	4	basic	['datawarrior']
5459	6.5	9.5	4	basic	['datawarrior']
6433	6.4	9.53	4	basic	['datawarrior']
15731561	4.92	4.75	16	acidic	['chembl25']
14618046	7.6	7.76	12	basic	['chembl25']
14618037	5.5	5.58	12	basic	['chembl25']
14618044	7.5	7.38	12	basic	['chembl25']
6349	11.0	10.74	0	basic	['datawarrior']
6779	4.12	4.8	0	basic	['datawarrior']
12542624	8.23	7.86	20	acidic	['chembl25']
12542615	9.17	6.98	21	acidic	['chembl25']
3301441	7.1	5.99	16	basic	['chembl25']
1318	10.63	10.2	0	basic	['datawarrior']
5280	9.46	9.68	0	basic	['datawarrior']
12542623	8.2	7.86	19	acidic	['chembl25']
12542614	9.23	6.98	20	acidic	['chembl25']
3301421	9.1	7.82	16	basic	['chembl25']
4090	10.64	10.2	0	basic	['datawarrior']
6675	7.6	9.78	4	basic	['datawarrior']
5458	6.7	9.82	4	basic	['datawarrior']
6434	6.6	9.87	4	basic	['datawarrior']
5633	7.5	9.5	4	basic	['datawarrior']
6673	7.2	9.53	4	basic	['datawarrior']
15731560	4.87	4.75	14	acidic	['chembl25']
6778	9.48	9.68	0	basic	['datawarrior']
6253	4.56	4.8	0	basic	['datawarrior']
271313	8.09	10.63	21	acidic	['chembl25']
12542622	8.17	7.86	18	acidic	['chembl25']
12542613	9.25	6.98	19	acidic	['chembl25']
5957	11.0	7.37	4	acidic	['datawarrior']
5486	6.7	6.7	4	acidic	['datawarrior']
3301414	9.9	8.16	16	basic	['chembl25']
3301442	7.1	5.99	14	basic	['chembl25']
5615	9.48	9.68	0	basic	['datawarrior']
298161	8.39	10.63	20	acidic	['chembl25']
12542621	8.15	7.86	17	acidic	['chembl25']
12542612	9.41	6.98	18	acidic	['chembl25']
6472	10.6	7.37	4	acidic	['datawarrior']
6809	7.2	6.7	4	acidic	['datawarrior']
3301422	9.1	7.82	14	basic	['chembl25']
3301443	7.1	5.99	13	basic	['chembl25']
14618048	6.6	6.53	12	basic	['chembl25']
2628	10.76	10.2	0	basic	['datawarrior']
6044	8.3	9.78	4	basic	['datawarrior']
5632	8.1	9.82	4	basic	['datawarrior']
6674	7.5	9.87	4	basic	['datawarrior']
5194	8.2	9.5	4	basic	['datawarrior']
6042	8.3	9.53	4	basic	['datawarrior']
15731559	4.83	4.75	12	acidic	['chembl25']
2166	8.28	9.98	0	basic	['datawarrior']
14618036	5.9	5.58	8	basic	['chembl25']
6252	9.47	9.68	0	basic	['datawarrior']
282251	8.09	10.63	19	acidic	['chembl25']
2308	8.87	8.87	5	basic	['datawarrior']
12542620	8.21	7.86	16	acidic	['chembl25']
12542611	9.25	6.98	17	acidic	['chembl25']
1157236	8.01	7.04	18	acidic	['chembl25']
14637078	7.44	9.37	11	acidic	['chembl25']
5411	10.2	7.37	4	acidic	['datawarrior']
5812	7.5	6.7	4	acidic	['datawarrior']
1140955	8.22	4.66	14	acidic	['chembl25']
3301418	9.4	8.16	14	basic	['chembl25']
3301423	9.1	7.82	13	basic	['chembl25']
3301432	7.7	5.99	12	basic	['chembl25']
420	10.34	10.2	0	basic	['datawarrior']
6524	3.33	6.14	0	basic	['datawarrior']
3086337	7.5	7.28	7	basic	['chembl25']
4892	10.02	9.68	0	basic	['datawarrior']
2164	5.09	4.93	0	basic	['datawarrior']
289361	8.27	10.63	18	acidic	['chembl25']
12542619	8.22	7.86	15	acidic	['chembl25']
12542610	9.24	6.98	16	acidic	['chembl25']
14637077	7.42	9.37	10	acidic	['chembl25']
6598	9.2	7.37	4	acidic	['datawarrior']
6398	8.0	6.7	4	acidic	['datawarrior']
7676	10.68	10.2	0	basic	['datawarrior']
4607	8.5	9.78	4	basic	['datawarrior']
5193	8.9	9.82	4	basic	['datawarrior']
6043	8.6	9.87	4	basic	['datawarrior']
6780	4.89	6.14	0	basic	['datawarrior']
2299	9.0	9.5	4	basic	['datawarrior']
4605	9.1	9.53	4	basic	['datawarrior']
15731558	4.78	4.75	10	acidic	['chembl25']
3204	11.01	10.74	0	basic	['datawarrior']
4663	10.17	9.68	0	basic	['datawarrior']
3601	5.21	4.97	0	basic	['datawarrior']
269991	8.52	10.63	17	acidic	['chembl25']
12542618	8.2	7.86	14	acidic	['chembl25']
12542609	9.27	6.98	15	acidic	['chembl25']
1094839	8.03	7.04	16	acidic	['chembl25']
14637076	7.42	9.37	9	acidic	['chembl25']
5716	8.6	7.37	4	acidic	['datawarrior']
5227	7.4	6.7	4	acidic	['datawarrior']
3301411	10.4	8.16	12	basic	['chembl25']
4307	7.2	6.53	0	basic	['datawarrior']
7418	10.65	10.2	0	basic	['datawarrior']
566245	11.0	8.76	7	basic	['chembl25']
2300	9.0	9.78	4	basic	['datawarrior']
4606	9.1	9.82	4	basic	['datawarrior']
5192	9.2	9.87	4	basic	['datawarrior']
3214	8.9	9.5	4	basic	['datawarrior']
2297	9.1	9.53	4	basic	['datawarrior']
1278577	7.4	9.41	5	basic	['chembl25']
15170220	5.46	3.25	8	acidic	['chembl25']
1272001	10.0	9.38	7	basic	['chembl25']
1273181	9.9	9.5	7	basic	['chembl25']
1277302	10.1	9.59	7	basic	['chembl25']
4091	11.18	10.74	0	basic	['datawarrior']
2163	10.08	9.68	0	basic	['datawarrior']
7648	6.25	8.49	0	basic	['datawarrior']
747	5.2	5.01	0	basic	['datawarrior']
284568	8.47	10.63	16	acidic	['chembl25']
4623	4.49	4.36	2	acidic	['datawarrior']
3490	10.23	9.93	11	acidic	['datawarrior']
14637115	6.36	9.37	8	acidic	['chembl25']
14637075	7.39	9.37	8	acidic	['chembl25']
2169	8.5	7.87	3	basic	['datawarrior']
1299499	8.5	5.42	7	basic	['chembl25']
424	10.8	10.43	0	basic	['datawarrior']
6114	8.4	7.37	4	acidic	['datawarrior']
6903	7.3	6.7	4	acidic	['datawarrior']
4304	3.7	3.13	0	basic	['datawarrior']
6366951	5.83	4.72	23	basic	['chembl25']
6366953	6.49	7.13	22	basic	['chembl25']
1514	7.12	6.53	0	basic	['datawarrior']
2572868	10.723333	10.2	4	basic	['datawarrior', 'chembl25']
7686	10.03	9.79	0	basic	['datawarrior']
1302	7.16	7.4	1	basic	['datawarrior']
556980	10.97	8.75	6	basic	['chembl25']
3216	9.3	9.79	4	basic	['datawarrior']
3378	6.91	8.48	4	basic	['datawarrior']
3205	10.8	10.82	0	basic	['datawarrior']
1237468	11.25	9.96	28	acidic	['chembl25']
4664	6.41	6.14	0	basic	['datawarrior']
5977	4.88	4.01	0	basic	['datawarrior']
4104	6.63	6.72	3	basic	['datawarrior']
3025	10.36	10.48	0	basic	['datawarrior']
1645	10.65	10.76	0	basic	['datawarrior']
1630	10.47	10.29	0	basic	['datawarrior']
4412	10.7	10.58	0	basic	['datawarrior']
3216134	7.715	8.0	4	basic	['datawarrior', 'chembl25']
4130	10.4	10.08	5	basic	['datawarrior']
14556415	10.78	10.26	4	basic	['chembl25']
7424	10.8	10.54	0	basic	['datawarrior']
1925165	9.13	9.57	13	basic	['chembl25']
3216079	5.275	4.33	7	acidic	['datawarrior', 'chembl25']
938887	6.36	9.23	18	acidic	['chembl25']
2088101	10.7	10.18	15	basic	['chembl25']
6240	8.04	8.74	5	basic	['datawarrior']
2601	8.3	8.19	4	basic	['datawarrior']
2631	11.29	10.75	0	basic	['datawarrior']
3604	9.98	9.68	0	basic	['datawarrior']
745	9.46	9.64	0	basic	['datawarrior']
7380	7.82	8.49	0	basic	['datawarrior']
13957478	8.8	9.18	12	basic	['chembl25']
4395	5.11	5.02	0	basic	['datawarrior']
3680	6.09	7.18	3	basic	['datawarrior']
16476923	8.69	7.18	8	basic	['chembl25']
2196	2.47	2.76	13	basic	['datawarrior']
2108	8.34	8.5	13	acidic	['datawarrior']
289357	8.07	10.63	15	acidic	['chembl25']
4123	9.25	8.82	3	acidic	['datawarrior']
1145713	8.04	7.04	14	acidic	['chembl25']
2062580	8.85	9.04	13	basic	['chembl25']
2106	4.48	4.36	2	acidic	['datawarrior']
532	10.23	9.93	11	acidic	['datawarrior']
6497	6.24	7.06	5	basic	['datawarrior']
14637092	7.34	9.23	15	acidic	['chembl25']
2101	4.25	3.84	2	acidic	['datawarrior']
1190440	7.34	9.23	16	acidic	['chembl25']
607498	7.6	7.3	11	basic	['chembl25']
7486	10.78	10.2	0	acidic	['datawarrior']
14637114	6.34	9.37	7	acidic	['chembl25']
14637082	7.56	9.37	7	acidic	['chembl25']
14637089	7.35	9.37	7	acidic	['chembl25']
14637074	7.41	9.37	7	acidic	['chembl25']
7617	2.2	2.0	2	acidic	['datawarrior']
3608	8.21	7.82	3	basic	['datawarrior']
1528	9.0	8.62	3	basic	['datawarrior']
2588	3.81	4.71	6	acidic	['datawarrior']
432	8.37	9.71	5	basic	['datawarrior']
1324	8.43	9.52	5	basic	['datawarrior']
4063	6.65	6.09	2	acidic	['datawarrior']
406465	3.9	3.03	13	acidic	['chembl25']
421049	4.4	3.46	15	acidic	['chembl25']
406461	3.9	3.03	13	acidic	['chembl25']
406469	4.4	3.46	15	acidic	['chembl25']
5803	10.53	10.94	1	acidic	['datawarrior']
5093	8.2	7.37	4	acidic	['datawarrior']
5875	7.2	6.7	4	acidic	['datawarrior']
4726	5.04	8.05	2	acidic	['datawarrior']
880967	4.5	7.03	6	acidic	['chembl25']
3503	8.1	7.75	4	acidic	['datawarrior']
3660	5.7	3.8	2	acidic	['datawarrior']
4406	4.26	4.38	0	basic	['datawarrior']
1500	3.49	3.13	0	basic	['datawarrior']
664993	4.5	4.02	5	basic	['chembl25']
3301439	7.2	5.99	8	basic	['chembl25']
2894	7.14	6.53	0	basic	['datawarrior']
3304	5.31	5.37	0	basic	['datawarrior']
2572871	10.675	10.21	3	basic	['datawarrior', 'chembl25']
7428	9.62	9.87	0	basic	['datawarrior']
7379	7.35	8.44	1	basic	['datawarrior']
1854	7.05	7.41	1	basic	['datawarrior']
4404	5.67	5.58	0	basic	['datawarrior']
560566	11.0	8.71	5	basic	['chembl25']
1335	8.9	9.76	4	basic	['datawarrior']
3212	9.0	9.78	4	basic	['datawarrior']
2298	9.0	9.82	4	basic	['datawarrior']
5274	6.62	8.58	5	basic	['datawarrior']
750	6.39	5.99	0	basic	['datawarrior']
2339709	6.0	6.71	32	basic	['chembl25']
2339710	3.6	5.52	32	basic	['chembl25']
18144940	8.4	9.42	29	basic	['chembl25']
18144943	9.6	10.65	32	basic	['chembl25']
5228	7.28	8.57	5	basic	['datawarrior']
6772	7.68	8.27	5	basic	['datawarrior']
1875	10.47	10.81	0	basic	['datawarrior']
5698	8.6	10.56	0	basic	['datawarrior']
17998231	5.46	5.46	3	basic	['chembl25']
894221	3.4	3.53	18	acidic	['chembl25']
3603	6.13	6.15	0	basic	['datawarrior']
1882	6.7	6.64	3	basic	['datawarrior']
4114	8.9	9.48	4	basic	['datawarrior']
1330	9.0	9.5	4	basic	['datawarrior']
381	7.0	8.54	1	basic	['datawarrior']
5752	8.5	7.15	14	basic	['datawarrior']
3016	10.45	10.26	0	basic	['datawarrior']
3216141	8.07	7.81	3	basic	['chembl25']
2492107	7.78	8.34	3	basic	['chembl25']
2492101	7.84	8.4	3	basic	['chembl25']
2492110	7.84	8.34	3	basic	['chembl25']
2492089	7.92	8.54	3	basic	['chembl25']
2492098	7.83	8.39	3	basic	['chembl25']
2492092	7.88	8.43	3	basic	['chembl25']
2492106	7.67	8.33	3	basic	['chembl25']
2492100	7.81	8.38	3	basic	['chembl25']
2492109	7.76	8.33	3	basic	['chembl25']
2492088	7.83	8.54	3	basic	['chembl25']
2492097	7.83	8.38	3	basic	['chembl25']
2492091	7.86	8.39	3	basic	['chembl25']
2492086	7.96	8.52	3	basic	['chembl25']
2492105	7.92	8.01	3	basic	['chembl25']
2492099	8.8	8.21	3	basic	['chembl25']
2492108	8.14	8.21	3	basic	['chembl25']
2492087	8.39	8.42	3	basic	['chembl25']
2492096	8.07	7.51	3	basic	['chembl25']
2492090	8.29	8.09	3	basic	['chembl25']
2606949	8.78	9.48	3	basic	['chembl25']
14556414	10.78	10.27	3	basic	['chembl25']
504427	8.75	9.42	12	acidic	['chembl25']
872376	4.9	3.33	6	acidic	['chembl25']
12657834	6.99	8.0	3	basic	['chembl25']
7685	10.96	10.73	0	basic	['datawarrior']
3216104	7.673333	8.81	3	basic	['datawarrior', 'chembl25']
2088102	10.7	10.19	14	basic	['chembl25']
6727	8.9	9.02	0	basic	['datawarrior']
4877	8.01	8.72	5	basic	['datawarrior']
3216106	9.27	9.71	3	basic	['chembl25']
7680	11.02	10.76	0	basic	['datawarrior']
746	9.98	9.67	0	basic	['datawarrior']
4393	9.62	9.63	0	basic	['datawarrior']
7524	7.92	8.51	0	basic	['datawarrior']
1621	5.12	5.0	0	basic	['datawarrior']
16476922	8.8	7.18	7	basic	['chembl25']
3639	2.49	2.81	12	basic	['datawarrior']
3515	8.3	8.5	12	acidic	['datawarrior']
271309	8.03	10.63	14	acidic	['chembl25']
1913	9.34	8.82	3	acidic	['datawarrior']
3216139	6.65	8.71	11	basic	['chembl25']
3301440	7.1	5.99	14	basic	['chembl25']
3525	4.63	4.36	2	acidic	['datawarrior']
4178	10.23	9.93	10	acidic	['datawarrior']
14637091	7.36	9.23	14	acidic	['chembl25']
1220575	7.36	9.23	15	acidic	['chembl25']
3522	4.24	3.72	2	acidic	['datawarrior']
613550	7.6	7.3	10	basic	['chembl25']
7227	10.56	10.2	0	acidic	['datawarrior']
14637113	6.35	9.4	6	acidic	['chembl25']
14637081	7.57	9.4	6	acidic	['chembl25']
14637088	7.38	9.4	6	acidic	['chembl25']
14637073	7.41	9.4	6	acidic	['chembl25']
8042885	5.8	5.23	10	basic	['chembl25']
8042883	7.3	6.31	10	basic	['chembl25']
7350	2.35	2.0	2	acidic	['datawarrior']
769	8.1	7.75	3	basic	['datawarrior']
73141	8.45	7.95	6	acidic	['chembl25']
2153	7.55	6.57	10	basic	['datawarrior']
2584	3.82	4.66	7	acidic	['datawarrior']
364	3.77	4.62	6	acidic	['datawarrior']
7697	9.43	9.71	5	basic	['datawarrior']
4106	8.83	9.52	5	basic	['datawarrior']
3216094	7.65	7.97	6	basic	['chembl25']
2520	6.06	6.37	0	acidic	['datawarrior']
2519	7.08	6.34	0	acidic	['datawarrior']
7023	8.0	7.37	4	acidic	['datawarrior']
6541	7.0	6.7	4	acidic	['datawarrior']
572	8.1	7.75	4	acidic	['datawarrior']
1503	4.25	3.68	1	basic	['datawarrior']
552856	10.54	9.66	10	basic	['chembl25']
616628	9.3	9.5	19	acidic	['chembl25']
1633	4.36	4.38	0	basic	['datawarrior']
14680444	5.97	5.6	8	basic	['datawarrior', 'chembl25']
2884	3.59	3.13	0	basic	['datawarrior']
6305	5.45	5.24	0	basic	['datawarrior']
16486944	8.8	11.77	4	acidic	['chembl25']
7021	6.12	6.63	8	basic	['datawarrior']
101	8.02	7.36	0	basic	['datawarrior']
2440	8.82	9.04	0	acidic	['datawarrior']
60	5.61	5.88	0	acidic	['datawarrior']
2192911	4.89	5.14	12	acidic	['chembl25']
2192919	7.74	7.33	11	acidic	['chembl25']
2896	8.2	7.1	0	basic	['datawarrior']
1590	5.15	3.98	3	basic	['datawarrior']
1591	7.04	5.51	3	basic	['datawarrior']
1041	5.46	5.37	0	basic	['datawarrior']
306	2.36	2.07	5	basic	['datawarrior']
2556726	10.77	10.22	2	basic	['datawarrior', 'chembl25']
2609534	7.8	8.85	6	basic	['chembl25']
8037781	8.4	9.01	6	basic	['chembl25']
1741049	7.5	8.65	6	basic	['chembl25']
2636	11.44	10.72	0	basic	['datawarrior']
2572873	10.125	9.75	2	basic	['datawarrior', 'chembl25']
12171645	9.3	8.22	15	basic	['chembl25']
451999	8.99	8.8	15	basic	['chembl25']
7425	10.39	9.97	0	basic	['datawarrior']
17998228	5.79	4.59	2	basic	['chembl25']
7523	7.3	8.45	1	basic	['datawarrior']
7647	6.38	6.94	0	basic	['datawarrior']
380	6.8	7.21	1	basic	['datawarrior']
2605	7.3	7.51	0	basic	['datawarrior']
7376	6.85	9.13	1	basic	['datawarrior']
1631	6.02	5.32	0	basic	['datawarrior']
591212	11.1	8.65	4	basic	['chembl25']
2397265	9.5	9.82	11	basic	['chembl25']
2927633	7.8	8.0	9	basic	['chembl25']
890782	6.8	7.51	22	basic	['chembl25']
2169472	9.6	9.82	11	basic	['chembl25']
2170945	9.6	9.82	11	basic	['chembl25']
15449630	9.7	9.82	11	basic	['chembl25']
2397267	9.6	9.82	11	basic	['chembl25']
2004768	6.75	5.41	14	basic	['chembl25']
431	3.95	2.0	2	acidic	['datawarrior']
1917	8.3	8.4	3	basic	['datawarrior']
14683357	8.053333	8.06	2	basic	['datawarrior', 'chembl25']
6622	8.9	9.22	13	basic	['datawarrior']
904335	9.03	9.99	2	basic	['chembl25']
922164	9.87	10.46	2	basic	['chembl25']
904341	10.1	10.3	2	basic	['chembl25']
482	10.2	8.7	2	basic	['datawarrior']
502366	10.765	10.2	2	basic	['datawarrior', 'chembl25']
386	4.18	5.91	3	basic	['datawarrior']
6235	8.74	7.73	6	basic	['datawarrior']
4651	8.21	8.05	5	basic	['datawarrior']
5718	8.19	8.05	5	basic	['datawarrior']
5876	7.98	8.05	5	basic	['datawarrior']
4876	8.07	8.05	5	basic	['datawarrior']
5606	7.9	7.77	5	basic	['datawarrior']
3216093	7.873636	7.75	2	basic	['datawarrior', 'chembl25']
6236	8.01	7.73	5	basic	['datawarrior']
6237	7.92	7.74	5	basic	['datawarrior']
4878	8.13	7.74	5	basic	['datawarrior']
6241	7.95	7.75	5	basic	['datawarrior']
4650	8.0	7.72	5	basic	['datawarrior']
4875	7.95	7.73	5	basic	['datawarrior']
1899	9.77	9.15	5	basic	['datawarrior']
3114	8.55	9.13	4	basic	['datawarrior']
434	7.0	7.91	3	basic	['datawarrior']
2602	7.62	7.47	4	basic	['datawarrior']
908270	8.895	9.7	2	basic	['datawarrior', 'chembl25']
1915	9.25	9.09	5	basic	['datawarrior']
6830	7.53	9.8	17	basic	['datawarrior']
1855	9.29	9.21	5	basic	['datawarrior']
916200	9.52	10.18	2	basic	['chembl25']
4125	10.1	9.58	6	basic	['datawarrior']
4073	10.08	10.32	6	basic	['datawarrior']
929101	9.96	10.02	2	basic	['chembl25']
931654	10.24	10.32	2	basic	['chembl25']
937473	10.24	10.32	2	basic	['chembl25']
2030415	7.65	9.73	2	basic	['chembl25']
4833	10.34	10.32	25	basic	['datawarrior']
860729	10.23	9.01	2	basic	['chembl25']
14540349	8.9	9.04	2	basic	['chembl25']
3216097	9.471667	9.04	2	basic	['chembl25']
487	9.84	9.55	3	basic	['datawarrior']
5429	7.52	8.96	10	basic	['datawarrior']
4906	8.9	8.96	10	basic	['datawarrior']
14565508	9.17	8.37	2	basic	['chembl25']
2365565	9.38	8.91	2	basic	['chembl25']
2174085	10.84	9.28	2	basic	['chembl25']
5915	7.41	6.75	11	basic	['datawarrior']
2640	9.62	9.53	4	basic	['datawarrior']
4105	9.32	9.52	6	basic	['datawarrior']
2168	8.11	9.52	8	basic	['datawarrior']
1326	8.83	9.52	7	basic	['datawarrior']
2237876	8.57	9.65	2	basic	['chembl25']
759	9.44	9.45	0	basic	['datawarrior']
2217	10.2	8.59	9	basic	['datawarrior']
5856	8.79	7.77	16	basic	['datawarrior']
17998229	5.8	4.83	2	basic	['chembl25']
379	6.88	7.22	0	basic	['datawarrior']
1853	7.31	7.82	1	basic	['datawarrior']
2699	10.6	9.57	0	basic	['datawarrior']
7645	7.14	9.34	1	basic	['datawarrior']
6258	2.96	2.16	15	acidic	['datawarrior']
4899	2.77	3.06	15	acidic	['datawarrior']
12074356	5.86	5.5	2	basic	['chembl25']
761	7.18	6.29	0	basic	['datawarrior']
12074354	6.01	5.62	2	basic	['chembl25']
4413	6.6	5.86	0	basic	['datawarrior']
762	7.18	6.03	0	basic	['datawarrior']
14680418	7.32	6.45	10	basic	['chembl25']
1803	6.33	6.99	0	acidic	['datawarrior']
3931	6.91	8.19	4	basic	['datawarrior']
4129	4.55	4.95	4	basic	['datawarrior']
1472089	7.4	7.37	6	basic	['chembl25']
1472097	7.4	7.37	6	basic	['chembl25']
1472105	7.4	7.35	6	basic	['chembl25']
1472081	7.4	7.36	6	basic	['chembl25']
1894	8.9	9.22	4	basic	['datawarrior']
15093700	3.7	4.01	16	acidic	['chembl25']
15093688	2.8	3.92	16	acidic	['chembl25']
17998232	5.58	4.47	2	basic	['chembl25']
7378	7.63	8.54	1	basic	['datawarrior']
7467	5.62	4.14	1	basic	['datawarrior']
3606	8.02	5.85	0	basic	['datawarrior']
7595	7.91	6.95	0	basic	['datawarrior']
208	11.88	10.32	0	basic	['datawarrior']
7857	10.96	10.31	0	basic	['datawarrior']
209	10.6	10.56	0	basic	['datawarrior']
3017	11.57	10.23	0	basic	['datawarrior']
205	10.68	10.06	0	basic	['datawarrior']
3018	10.68	10.33	0	basic	['datawarrior']
459801	8.9	8.4	2	basic	['chembl25']
580334	7.5	7.56	2	basic	['chembl25']
281	7.72	7.77	5	basic	['datawarrior']
594946	7.0	6.62	2	basic	['chembl25']
3100308	9.33	9.62	4	acidic	['chembl25']
7859	9.41	7.2	0	basic	['datawarrior']
7858	8.57	7.2	0	basic	['datawarrior']
14556413	10.82	10.33	2	basic	['chembl25']
2129	9.4	8.32	0	acidic	['datawarrior']
18167893	6.9	8.93	5	acidic	['chembl25']
12171644	9.2	8.14	15	basic	['chembl25']
4360	8.6	8.87	5	basic	['datawarrior']
7742	8.14	9.45	0	acidic	['datawarrior']
15624380	2.9	3.11	12	basic	['chembl25']
2690	11.52	8.75	3	acidic	['datawarrior']
7423	11.03	10.64	0	basic	['datawarrior']
885805	10.0	10.21	2	basic	['chembl25']
2088103	10.8	10.17	13	basic	['chembl25']
7546	11.05	10.58	0	basic	['datawarrior']
4085	8.78	8.89	6	basic	['datawarrior']
4649	8.06	8.58	5	basic	['datawarrior']
1954572	10.7	10.31	2	basic	['chembl25']
4394	10.04	9.53	0	basic	['datawarrior']
1618	9.75	9.48	0	basic	['datawarrior']
7243	7.95	8.47	0	basic	['datawarrior']
7381	6.58	9.05	1	basic	['datawarrior']
7646	6.81	9.24	1	basic	['datawarrior']
378	7.08	9.45	1	basic	['datawarrior']
7521	7.5	9.0	1	basic	['datawarrior']
7375	7.66	9.14	1	basic	['datawarrior']
1624	5.72	5.35	0	basic	['datawarrior']
3368	4.19	4.44	0	basic	['datawarrior']
3005	5.29	4.91	0	basic	['datawarrior']
1625	4.92	4.85	0	basic	['datawarrior']
3225	5.48	6.62	8	acidic	['datawarrior']
4107	7.2	7.04	8	acidic	['datawarrior']
1134520	9.3	7.3	7	acidic	['chembl25']
2252	8.95	7.77	8	acidic	['datawarrior']
2694	9.64	7.77	8	acidic	['datawarrior']
447	7.8	7.34	5	basic	['datawarrior']
2658	7.71	7.4	5	basic	['datawarrior']
4117	7.63	7.39	5	basic	['datawarrior']
16476925	8.9	7.18	6	basic	['chembl25']
16476924	8.85	7.18	6	basic	['chembl25']
16476921	8.94	7.18	6	basic	['chembl25']
3216095	9.125	8.16	8	basic	['datawarrior', 'chembl25']
226414	3.13	2.55	8	basic	['chembl25']
248808	5.23	5.28	8	basic	['chembl25']
232926	9.03	8.39	8	basic	['datawarrior', 'chembl25']
248781	7.43	6.92	8	basic	['chembl25']
18050966	5.7	3.76	16	acidic	['chembl25']
899074	7.48	9.29	21	basic	['chembl25']
3385	8.8	7.03	5	basic	['datawarrior']
4273	10.68	8.37	2	acidic	['datawarrior']
621	11.9	8.48	2	acidic	['datawarrior']
10869577	4.08	2.98	17	basic	['chembl25']
3380	9.64	8.59	10	basic	['datawarrior']
4624	10.73	10.92	3	acidic	['datawarrior']
601439	6.02	6.67	15	basic	['chembl25']
2594	10.085	9.93	3	acidic	['datawarrior']
629183	6.45	6.75	16	basic	['chembl25']
4693	8.23	8.75	7	basic	['datawarrior']
4910	7.66	8.7	7	basic	['datawarrior']
4116	10.37	10.2	10	basic	['datawarrior']
1896	10.15	10.2	9	basic	['datawarrior']
2647	9.71	10.19	8	basic	['datawarrior']
2193	5.32	4.58	9	basic	['datawarrior']
451	9.13	9.29	7	basic	['datawarrior']
1900	8.6	8.92	7	basic	['datawarrior']
7714	7.74	7.09	5	basic	['datawarrior']
2200	8.32	8.63	7	basic	['datawarrior']
814	4.25	4.3	7	basic	['datawarrior']
2563290	9.6	10.39	22	basic	['chembl25']
2062703	4.58	4.33	23	basic	['chembl25']
680	7.31	6.88	10	basic	['datawarrior']
10990260	3.4	4.99	8	basic	['chembl25']
10990259	3.5	4.97	8	basic	['chembl25']
10990261	3.5	5.07	8	basic	['chembl25']
10990258	4.0	4.21	8	basic	['chembl25']
4330	8.28	7.81	10	basic	['datawarrior']
5079	4.7	8.62	12	acidic	['datawarrior']
7123	9.63	6.56	7	acidic	['datawarrior']
871103	6.4	6.73	22	basic	['chembl25']
16413113	5.54	4.2	7	acidic	['chembl25']
16413110	5.38	4.16	7	acidic	['chembl25']
1471244	8.39	10.63	7	acidic	['chembl25']
1471372	9.05	10.62	7	acidic	['chembl25']
1471256	8.61	10.63	7	acidic	['chembl25']
1471376	9.73	10.63	7	acidic	['chembl25']
1471248	8.14	10.63	7	acidic	['chembl25']
1471252	8.07	10.63	7	acidic	['chembl25']
1471388	7.64	10.63	7	acidic	['chembl25']
1471392	7.06	10.63	7	acidic	['chembl25']
1471384	8.38	10.62	7	acidic	['chembl25']
1471232	8.23	10.63	7	acidic	['chembl25']
13434270	3.4	3.95	20	acidic	['chembl25']
13434271	3.6	3.95	20	acidic	['chembl25']
13434268	4.6	3.98	22	acidic	['chembl25']
13434269	4.6	3.98	22	acidic	['chembl25']
765628	3.8	5.87	12	acidic	['chembl25']
2197	9.58	9.72	13	basic	['datawarrior']
14693913	2.526667	2.78	9	basic	['datawarrior', 'chembl25']
2211960	8.82	8.5	9	acidic	['datawarrior', 'chembl25']
299415	8.22	10.63	13	acidic	['chembl25']
593	9.05	9.14	10	acidic	['datawarrior']
14682469	6.49	8.47	21	acidic	['chembl25']
4437	3.2	3.24	8	basic	['datawarrior']
16413109	6.71	7.86	9	acidic	['chembl25']
2004756	6.35	5.19	12	basic	['chembl25']
6551	4.09	4.69	10	basic	['datawarrior']
5156	9.62	10.47	8	acidic	['datawarrior']
5761	3.88	4.3	10	basic	['datawarrior']
2062664	4.5	4.25	7	basic	['chembl25']
16413115	6.21	3.03	7	acidic	['chembl25']
16413112	6.22	2.94	7	acidic	['chembl25']
894113	6.2	2.87	6	basic	['chembl25']
16413114	5.14	6.5	9	acidic	['chembl25']
16413111	5.14	6.7	15	acidic	['chembl25']
2339164	7.44	3.48	12	basic	['chembl25']
