pKa	marvin_pKa	marvin_atom	marvin_pKa_type	original_dataset	SMILES
10.54	9.66	10	basic	['chembl25']	CCCc1ccc(CCCN(C)C)cc1
9.3	9.5	19	acidic	['chembl25']	CCCc1ccc(O)c(-c2cc(CCC)ccc2O)c1
4.36	4.38	0	basic	['datawarrior']	CCCc1ccccc1N
5.97	5.6	8	basic	['datawarrior', 'chembl25']	CCCc1ccccn1
3.59	3.13	0	basic	['datawarrior']	CCCc1cccnn1
5.45	5.24	0	basic	['datawarrior']	CCCc1ccnc2c1ccc1cccnc12
8.8	11.77	4	acidic	['chembl25']	CCCc1nc(=O)c2ccncc2[nH]1
6.12	6.63	8	basic	['datawarrior']	CCCc1nc2cc(OCC)ccc2[nH]1
8.02	7.36	0	basic	['datawarrior']	CCCc1ncc[nH]1
8.82	9.04	0	acidic	['datawarrior']	CCCc1ncnc2c(O)cccc12
5.61	5.88	0	acidic	['datawarrior']	CCCc1nn[nH]n1
4.89	5.14	12	acidic	['chembl25']	CCCc1oc2ccccc2c(=O)c1C(=O)c1cc(I)c(O)c(I)c1
7.74	7.33	11	acidic	['chembl25']	CCCc1oc2ccccc2c(=O)c1C(=O)c1ccc(O)cc1
8.2	7.1	0	basic	['datawarrior']	CCCn1ccnc1C
5.15	3.98	3	basic	['datawarrior']	CCCn1ccnc1C=O
7.04	5.51	3	basic	['datawarrior']	CCCn1ccnc1CO
5.46	5.37	0	basic	['datawarrior']	CCCn1cnc2ccccc21
2.36	2.07	5	basic	['datawarrior']	CCCn1cncn1
10.77	10.22	2	basic	['datawarrior', 'chembl25']	CCN
7.8	8.85	6	basic	['chembl25']	CCN(C(=O)Cc1ccc(OC)cc1)C1CCN(C(C)C[C@H](NC(=O)C2CCC2)c2ccccc2)CC1
8.4	9.01	6	basic	['chembl25']	CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cc(F)cc(F)c2)C2CCN(S(C)(=O)=O)CC2)CC1
7.5	8.65	6	basic	['chembl25']	CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(F)c2)CC1
11.44	10.72	0	basic	['datawarrior']	CCN(C(C)C)C(C)C
10.125	9.75	2	basic	['datawarrior', 'chembl25']	CCN(C)C
9.3	8.22	15	basic	['chembl25']	CCN(C)C(=O)C1CC(c2ccc(CN3CCCC3)c(F)c2)C1
8.99	8.8	15	basic	['chembl25']	CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1
10.39	9.97	0	basic	['datawarrior']	CCN(C)CC
5.79	4.59	2	basic	['chembl25']	CCN(C)Cc1no[n+]([O-])c1C#N
7.3	8.45	1	basic	['datawarrior']	CCN(C)N
6.38	6.94	0	basic	['datawarrior']	CCN(C)N(C)C
6.8	7.21	1	basic	['datawarrior']	CCN(C)N(C)CC
7.3	7.51	0	basic	['datawarrior']	CCN(C)N(CC)CC
6.85	9.13	1	basic	['datawarrior']	CCN(C)NC
6.02	5.32	0	basic	['datawarrior']	CCN(C)c1ccccc1
11.1	8.65	4	basic	['chembl25']	CCN(C1=NCCN1)c1c(Br)cccc1Br
9.5	9.82	11	basic	['chembl25']	CCN(CC)C(=O)C1(c2ccccc2)CC1CN
7.8	8.0	9	basic	['chembl25']	CCN(CC)C(=O)C1=CC2c3cccc4[nH]cc(c34)CC2N(C)C1
6.8	7.51	22	basic	['chembl25']	CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
9.6	9.82	11	basic	['chembl25']	CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN
9.6	9.82	11	basic	['chembl25']	CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN
9.7	9.82	11	basic	['chembl25']	CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN
9.6	9.82	11	basic	['chembl25']	CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@H]1CN
6.75	5.41	14	basic	['chembl25']	CCN(CC)C(=O)c1cn2c(C)c(C)nc2c2c1CCC(c1ccccc1)O2
3.95	2.0	2	acidic	['datawarrior']	CCN(CC)C(=S)S
8.3	8.4	3	basic	['datawarrior']	CCN(CC)C(C)(C)C=O
8.053333	8.06	2	basic	['datawarrior', 'chembl25']	CCN(CC)C(C)C(=O)Nc1c(C)cccc1C
8.9	9.22	13	basic	['datawarrior']	CCN(CC)C(C)C=C(c1cccs1)c1cccs1
9.03	9.99	2	basic	['chembl25']	CCN(CC)C(C)CC(=O)Nc1c(C)cccc1C
9.87	10.46	2	basic	['chembl25']	CCN(CC)C(C)CCC(=O)Nc1c(C)cccc1C
10.1	10.3	2	basic	['chembl25']	CCN(CC)C(C)CCCC(=O)Nc1c(C)cccc1C
10.2	8.7	2	basic	['datawarrior']	CCN(CC)C(C)O
10.765	10.2	2	basic	['datawarrior', 'chembl25']	CCN(CC)CC
4.18	5.91	3	basic	['datawarrior']	CCN(CC)CC#N
8.74	7.73	6	basic	['datawarrior']	CCN(CC)CC(=O)N(C)c1ccccc1C
8.21	8.05	5	basic	['datawarrior']	CCN(CC)CC(=O)NC1CCCCC1
8.19	8.05	5	basic	['datawarrior']	CCN(CC)CC(=O)NC1CCc2ccccc21
7.98	8.05	5	basic	['datawarrior']	CCN(CC)CC(=O)NC1c2ccccc2-c2ccccc21
8.07	8.05	5	basic	['datawarrior']	CCN(CC)CC(=O)NCc1ccccc1
7.9	7.77	5	basic	['datawarrior']	CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C
7.873636	7.75	2	basic	['datawarrior', 'chembl25']	CCN(CC)CC(=O)Nc1c(C)cccc1C
8.01	7.73	5	basic	['datawarrior']	CCN(CC)CC(=O)Nc1cc(C)cc(C)c1
7.92	7.74	5	basic	['datawarrior']	CCN(CC)CC(=O)Nc1cc(C)ccc1C
8.13	7.74	5	basic	['datawarrior']	CCN(CC)CC(=O)Nc1ccc(C)cc1
7.95	7.75	5	basic	['datawarrior']	CCN(CC)CC(=O)Nc1ccc(C)cc1C
8.0	7.72	5	basic	['datawarrior']	CCN(CC)CC(=O)Nc1ccccc1
7.95	7.73	5	basic	['datawarrior']	CCN(CC)CC(=O)Nc1ccccc1C
9.77	9.15	5	basic	['datawarrior']	CCN(CC)CC(O)CO
8.55	9.13	4	basic	['datawarrior']	CCN(CC)CC1CO1
7.0	7.91	3	basic	['datawarrior']	CCN(CC)CCBr
7.62	7.47	4	basic	['datawarrior']	CCN(CC)CCC#N
8.895	9.7	2	basic	['datawarrior', 'chembl25']	CCN(CC)CCC(=O)Nc1c(C)cccc1C
9.25	9.09	5	basic	['datawarrior']	CCN(CC)CCC(C)=O
7.53	9.8	17	basic	['datawarrior']	CCN(CC)CCC(OC(=O)c1ccccc1)c1ccccc1
9.29	9.21	5	basic	['datawarrior']	CCN(CC)CCCC#N
9.52	10.18	2	basic	['chembl25']	CCN(CC)CCCC(=O)Nc1c(C)cccc1C
10.1	9.58	6	basic	['datawarrior']	CCN(CC)CCCC(C)=O
10.08	10.32	6	basic	['datawarrior']	CCN(CC)CCCCC#N
9.96	10.02	2	basic	['chembl25']	CCN(CC)CCCCC(=O)Nc1c(C)cccc1C
10.24	10.32	2	basic	['chembl25']	CCN(CC)CCCCCC(=O)Nc1c(C)cccc1C
10.24	10.32	2	basic	['chembl25']	CCN(CC)CCCCCCC(=O)Nc1c(C)cccc1C
7.65	9.73	2	basic	['chembl25']	CCN(CC)CCCN1c2cc(F)ccc2CCc2ccc(F)cc21
10.34	10.32	25	basic	['datawarrior']	CCN(CC)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
10.23	9.01	2	basic	['chembl25']	CCN(CC)CCN1C(=O)Nc2ccccc2C1c1ccccc1
8.9	9.04	2	basic	['chembl25']	CCN(CC)CCNC(=O)C1C[C@@H]1c1ccccc1
9.471667	9.04	2	basic	['chembl25']	CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
9.84	9.55	3	basic	['datawarrior']	CCN(CC)CCO
7.52	8.96	10	basic	['datawarrior']	CCN(CC)CCOC(=O)c1ccc2ccccc2c1
8.9	8.96	10	basic	['datawarrior']	CCN(CC)CCOC(=O)c1ccccc1
9.17	8.37	2	basic	['chembl25']	CCN(CC)CCON=C1C[C@H]2C(C)(C)O[C@H]3CC(=O)OC[C@]32[C@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C4O[C@]43[C@]12C
9.38	8.91	2	basic	['chembl25']	CCN(CC)CCONc1c(C2=c3ccc(Br)cc3=NC2=O)[nH]c2ccccc12
10.84	9.28	2	basic	['chembl25']	CCN(CC)CCOc1ccc(C(=O)N2C/C(=C\c3ccccc3)C(=O)/C(=C/c3ccccc3)C2)cc1
7.41	6.75	11	basic	['datawarrior']	CCN(CC)CCS(=O)(=O)c1ccc(OC)c(OC)c1OC
9.62	9.53	4	basic	['datawarrior']	CCN(CC)CCSC
9.32	9.52	6	basic	['datawarrior']	CCN(CC)CCSC(C)C
8.11	9.52	8	basic	['datawarrior']	CCN(CC)CCSC1CCCCC1
8.83	9.52	7	basic	['datawarrior']	CCN(CC)CCSCC(C)C
8.57	9.65	2	basic	['chembl25']	CCN(CC)CCn1ccc(=O)c(O)c1C
9.44	9.45	0	basic	['datawarrior']	CCN(CC)Cc1ccccc1
10.2	8.59	9	basic	['datawarrior']	CCN(CC)Cc1ccccc1OC
8.79	7.77	16	basic	['datawarrior']	CCN(CC)Cc1cn2nc(-c3ccccc3)cc(C)c2n1
5.8	4.83	2	basic	['chembl25']	CCN(CC)Cc1no[n+]([O-])c1C#N
6.88	7.22	0	basic	['datawarrior']	CCN(CC)N(C)C
7.31	7.82	1	basic	['datawarrior']	CCN(CC)N(CC)CC
10.6	9.57	0	basic	['datawarrior']	CCN(CC)N=C(C)N
7.14	9.34	1	basic	['datawarrior']	CCN(CC)NC
2.96	2.16	15	acidic	['datawarrior']	CCN(CC)S(=O)(=O)c1ccccc1C(=O)O
2.77	3.06	15	acidic	['datawarrior']	CCN(CC)S(=O)(=O)c1ccsc1C(=O)O
5.86	5.5	2	basic	['chembl25']	CCN(CC)c1ccc(C)c2nc(-c3c(OC)cc(COC)cc3OC)c(C)cc12
7.18	6.29	0	basic	['datawarrior']	CCN(CC)c1ccc(C)cc1
6.01	5.62	2	basic	['chembl25']	CCN(CC)c1ccc(OC)c2nc(-c3c(OC)cc(COC)cc3OC)c(C)cc12
6.6	5.86	0	basic	['datawarrior']	CCN(CC)c1ccccc1
7.18	6.03	0	basic	['datawarrior']	CCN(CC)c1ccccc1C
7.32	6.45	10	basic	['chembl25']	CCN(CC)c1ccccn1
6.33	6.99	0	acidic	['datawarrior']	CCN(CC)c1nn[nH]n1
6.91	8.19	4	basic	['datawarrior']	CCN(CC1CO1)CC1CO1
4.55	4.95	4	basic	['datawarrior']	CCN(CCC#N)CCC#N
7.4	7.37	6	basic	['chembl25']	CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(C)cc1
7.4	7.37	6	basic	['chembl25']	CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(OC)cc1
7.4	7.35	6	basic	['chembl25']	CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1cccc2ccccc12
7.4	7.36	6	basic	['chembl25']	CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccccc1
8.9	9.22	4	basic	['datawarrior']	CCN(CCO)CC(C)O
3.7	4.01	16	acidic	['chembl25']	CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)n2cccnc12)C(=O)C1CC1
2.8	3.92	16	acidic	['chembl25']	CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2ccccc12)C(=O)C1CC1
5.58	4.47	2	basic	['chembl25']	CCN(Cc1ccccc1)Cc1no[n+]([O-])c1C#N
7.63	8.54	1	basic	['datawarrior']	CCN(N)CC
5.62	4.14	1	basic	['datawarrior']	CCN(O)CC
8.02	5.85	0	basic	['datawarrior']	CCN(c1ccccc1)C(C)(C)C
7.91	6.95	0	basic	['datawarrior']	CCN1CC1
11.88	10.32	0	basic	['datawarrior']	CCN1CCC=C1C
10.96	10.31	0	basic	['datawarrior']	CCN1CCCC1
10.6	10.56	0	basic	['datawarrior']	CCN1CCCC1C
11.57	10.23	0	basic	['datawarrior']	CCN1CCCC=C1C
10.68	10.06	0	basic	['datawarrior']	CCN1CCCCC1
10.68	10.33	0	basic	['datawarrior']	CCN1CCCCC1C
8.9	8.4	2	basic	['chembl25']	CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
7.5	7.56	2	basic	['chembl25']	CCN1CCN(c2cc(=O)oc3c(C)c(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)ccc23)CC1
7.72	7.77	5	basic	['datawarrior']	CCN1CCOCC1
7.0	6.62	2	basic	['chembl25']	CCN1CCc2onc(OC)c2C1
9.33	9.62	4	acidic	['chembl25']	CCN1CNS(=O)(=O)c2cc(Cl)ccc21
9.41	7.2	0	basic	['datawarrior']	CCN1[C@@H](C)[C@@H]1C
8.57	7.2	0	basic	['datawarrior']	CCN1[C@H](C)[C@@H]1C
10.82	10.33	2	basic	['chembl25']	CCN=C(N)N=C(N)Nc1ccc(Cl)cc1
9.4	8.32	0	acidic	['datawarrior']	CCN=C(N=[N+]=[N-])c1ccccc1O
6.9	8.93	5	acidic	['chembl25']	CCN=S1(=O)NC(=O)c2ccccc21
9.2	8.14	15	basic	['chembl25']	CCNC(=O)C1CC(F)(c2ccc(CN3CCCC3)c(F)c2)C1
8.6	8.87	5	basic	['datawarrior']	CCNC(=O)C1CCCCN1
8.14	9.45	0	acidic	['datawarrior']	CCNC(=O)CS
2.9	3.11	12	basic	['chembl25']	CCNC(=O)c1nc(OC)cc(N(C)C)n1
11.52	8.75	3	acidic	['datawarrior']	CCNC(=S)OC(C)C
11.03	10.64	0	basic	['datawarrior']	CCNC(C)C
10.0	10.21	2	basic	['chembl25']	CCNC(C)Cc1cccc(C(F)(F)F)c1
10.8	10.17	13	basic	['chembl25']	CCNC1=NC(C)c2ccccc2N1
11.05	10.58	0	basic	['datawarrior']	CCNCC
8.78	8.89	6	basic	['datawarrior']	CCNCC(=O)N(CC)CC
8.06	8.58	5	basic	['datawarrior']	CCNCC(=O)Nc1c(C)cccc1C
10.7	10.31	2	basic	['chembl25']	CCNCCC[C@@]1(c2ccccc2)C=C(c2cc(F)ccc2F)CN1C(=O)N(C)C
10.04	9.53	0	basic	['datawarrior']	CCNCc1ccc(C)cc1
9.75	9.48	0	basic	['datawarrior']	CCNCc1ccccc1
7.95	8.47	0	basic	['datawarrior']	CCNN
6.58	9.05	1	basic	['datawarrior']	CCNN(C)C
6.81	9.24	1	basic	['datawarrior']	CCNN(C)CC
7.08	9.45	1	basic	['datawarrior']	CCNN(CC)CC
7.5	9.0	1	basic	['datawarrior']	CCNNC
7.66	9.14	1	basic	['datawarrior']	CCNNCC
5.72	5.35	0	basic	['datawarrior']	CCNc1ccc(C)cc1
4.19	4.44	0	basic	['datawarrior']	CCNc1cccc2ccccc12
5.29	4.91	0	basic	['datawarrior']	CCNc1ccccc1
4.92	4.85	0	basic	['datawarrior']	CCNc1ccccc1C
5.48	6.62	8	acidic	['datawarrior']	CCOC(=O)C(=NO)C(=O)OCC
7.2	7.04	8	acidic	['datawarrior']	CCOC(=O)C(=NO)C(C)=O
9.3	7.3	7	acidic	['chembl25']	CCOC(=O)C(=NO)c1ccc(Sc2cc(F)cc(C3CCOCC3)c2)cc1
8.95	7.77	8	acidic	['datawarrior']	CCOC(=O)C(=NO)c1ccccc1
9.64	7.77	8	acidic	['datawarrior']	CCOC(=O)C(C)=NO
7.8	7.34	5	basic	['datawarrior']	CCOC(=O)C(C)N
7.71	7.4	5	basic	['datawarrior']	CCOC(=O)C(N)CC
7.63	7.39	5	basic	['datawarrior']	CCOC(=O)C(N)CC(C)C
8.9	7.18	6	basic	['chembl25']	CCOC(=O)C(N)CCC(=O)NCCSC(=O)C(C)(C)C
8.85	7.18	6	basic	['chembl25']	CCOC(=O)C(N)CCC(=O)NCCSC(=O)c1ccccc1
8.94	7.18	6	basic	['chembl25']	CCOC(=O)C(N)CCC(=O)NCCSC(C)=O
9.125	8.16	8	basic	['datawarrior', 'chembl25']	CCOC(=O)C1(c2ccccc2)CCN(C)CC1
3.13	2.55	8	basic	['chembl25']	CCOC(=O)C1(c2ccccc2)CCN(CC(F)(F)F)CC1
5.23	5.28	8	basic	['chembl25']	CCOC(=O)C1(c2ccccc2)CCN(CC(F)F)CC1
9.03	8.39	8	basic	['datawarrior', 'chembl25']	CCOC(=O)C1(c2ccccc2)CCN(CC)CC1
7.43	6.92	8	basic	['chembl25']	CCOC(=O)C1(c2ccccc2)CCN(CCF)CC1
5.7	3.76	16	acidic	['chembl25']	CCOC(=O)C1C(CN2CCOCC2C(=O)O)=NC(c2nccs2)=N[C@H]1c1cccc(F)c1Cl
7.48	9.29	21	basic	['chembl25']	CCOC(=O)C1C2c3ccccc3C(c3ccccc32)C1N(C)C
8.8	7.03	5	basic	['datawarrior']	CCOC(=O)C1CC2CCN1CC2
10.68	8.37	2	acidic	['datawarrior']	CCOC(=O)C1CCCC1=O
11.9	8.48	2	acidic	['datawarrior']	CCOC(=O)C1CCCCC1=O
4.08	2.98	17	basic	['chembl25']	CCOC(=O)C1CCc2nc3c(ccn4ccnc34)cc2C1
9.64	8.59	10	basic	['datawarrior']	CCOC(=O)C1CN2CCC1CC2
10.73	10.92	3	acidic	['datawarrior']	CCOC(=O)CC(=O)c1ccc(C)cc1
6.02	6.67	15	basic	['chembl25']	CCOC(=O)CC(C(=O)OCC)n1ccnc1
10.085	9.93	3	acidic	['datawarrior']	CCOC(=O)CC(C)=O
6.45	6.75	16	basic	['chembl25']	CCOC(=O)CC(CC(=O)OCC)n1ccnc1
8.23	8.75	7	basic	['datawarrior']	CCOC(=O)CC(NC)c1ccccc1
7.66	8.7	7	basic	['datawarrior']	CCOC(=O)CC(c1ccccc1)N(C)C
10.37	10.2	10	basic	['datawarrior']	CCOC(=O)CCCCCN
10.15	10.2	9	basic	['datawarrior']	CCOC(=O)CCCCN
9.71	10.19	8	basic	['datawarrior']	CCOC(=O)CCCN
5.32	4.58	9	basic	['datawarrior']	CCOC(=O)CCCc1ccccn1
9.13	9.29	7	basic	['datawarrior']	CCOC(=O)CCN
8.6	8.92	7	basic	['datawarrior']	CCOC(=O)CCN(C)C
7.74	7.09	5	basic	['datawarrior']	CCOC(=O)CN
8.32	8.63	7	basic	['datawarrior']	CCOC(=O)C[C@H](N)c1ccccc1
4.25	4.3	7	basic	['datawarrior']	CCOC(=O)Cc1ccccn1
9.6	10.39	22	basic	['chembl25']	CCOC(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1
4.58	4.33	23	basic	['chembl25']	CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
7.31	6.88	10	basic	['datawarrior']	CCOC(=O)N1CCN(C)CC1
3.4	4.99	8	basic	['chembl25']	CCOC(=O)N1CCN(Cc2nc(-c3cccc(Cl)c3)no2)CC1
3.5	4.97	8	basic	['chembl25']	CCOC(=O)N1CCN(Cc2nnc(-c3cc(Cl)ccc3F)o2)CC1
3.5	5.07	8	basic	['chembl25']	CCOC(=O)N1CCN(Cc2nnc(-c3cccc(Cl)c3)o2)CC1
4.0	4.21	8	basic	['chembl25']	CCOC(=O)N1CCN(Cc2noc(-c3cc(Cl)ccc3F)n2)CC1
8.28	7.81	10	basic	['datawarrior']	CCOC(=O)N1CCNCC1
4.7	8.62	12	acidic	['datawarrior']	CCOC(=O)N1CCc2[nH]oc(=O)c2CC1
9.63	6.56	7	acidic	['datawarrior']	CCOC(=O)N=c1[nH]cnc2[nH]cnc12
6.4	6.73	22	basic	['chembl25']	CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2
5.54	4.2	7	acidic	['chembl25']	CCOC(=O)c1c(O)nnn1C
5.38	4.16	7	acidic	['chembl25']	CCOC(=O)c1c(O)nnn1Cc1ccccc1
8.39	10.63	7	acidic	['chembl25']	CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(Br)cc1
9.05	10.62	7	acidic	['chembl25']	CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(C(C)=O)cc1
8.61	10.63	7	acidic	['chembl25']	CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(C)cc1
9.73	10.63	7	acidic	['chembl25']	CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(Cl)cc1
8.14	10.63	7	acidic	['chembl25']	CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(F)cc1
8.07	10.63	7	acidic	['chembl25']	CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(OC)cc1
7.64	10.63	7	acidic	['chembl25']	CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1cccc(C)c1
7.06	10.63	7	acidic	['chembl25']	CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1cccc(Cl)c1
8.38	10.62	7	acidic	['chembl25']	CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1cccc(OC)c1
8.23	10.63	7	acidic	['chembl25']	CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccccc1
3.4	3.95	20	acidic	['chembl25']	CCOC(=O)c1cc(C#N)c(N2CC(C(=O)NS(=O)(=O)Cc3ccc(C)cc3)C2)nc1C
3.6	3.95	20	acidic	['chembl25']	CCOC(=O)c1cc(C#N)c(N2CC(C(=O)NS(=O)(=O)Cc3ccccc3)C2)nc1C
4.6	3.98	22	acidic	['chembl25']	CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(C)cc3)CC2)nc1C
4.6	3.98	22	acidic	['chembl25']	CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccccc3)CC2)nc1C
3.8	5.87	12	acidic	['chembl25']	CCOC(=O)c1cc2cc(F)c(O)c(F)c2oc1=O
9.58	9.72	13	basic	['datawarrior']	CCOC(=O)c1ccc(CCN)cc1
2.526667	2.78	9	basic	['datawarrior', 'chembl25']	CCOC(=O)c1ccc(N)cc1
8.82	8.5	9	acidic	['datawarrior', 'chembl25']	CCOC(=O)c1ccc(O)cc1
8.22	10.63	13	acidic	['chembl25']	CCOC(=O)c1ccc(OS(N)(=O)=O)cc1
9.05	9.14	10	acidic	['datawarrior']	CCOC(=O)c1cccc(O)c1
6.49	8.47	21	acidic	['chembl25']	CCOC(=O)c1ccccc1NC(=O)c1cn(C)c(O)c1O
3.2	3.24	8	basic	['datawarrior']	CCOC(=O)c1cccnc1
6.71	7.86	9	acidic	['chembl25']	CCOC(=O)c1cn(C)[nH]c1=O
6.35	5.19	12	basic	['chembl25']	CCOC(=O)c1cn2c(C)c(C)nc2c2c1CCC(c1ccccc1)O2
4.09	4.69	10	basic	['datawarrior']	CCOC(=O)c1cnc2cc3c(cc2c1OCC)OCO3
9.62	10.47	8	acidic	['datawarrior']	CCOC(=O)c1cnc2ccccc2c1O
3.88	4.3	10	basic	['datawarrior']	CCOC(=O)c1cnc2ccccc2c1OCC
4.5	4.25	7	basic	['chembl25']	CCOC(=O)c1cncn1[C@H](C)c1ccccc1
6.21	3.03	7	acidic	['chembl25']	CCOC(=O)c1n[nH]n(C)c1=O
6.22	2.94	7	acidic	['chembl25']	CCOC(=O)c1n[nH]n(Cc2ccccc2)c1=O
6.2	2.87	6	basic	['chembl25']	CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
5.14	6.5	9	acidic	['chembl25']	CCOC(=O)c1nn(C)[nH]c1=O
5.14	6.7	15	acidic	['chembl25']	CCOC(=O)c1nn(Cc2ccccc2)[nH]c1=O
7.44	3.48	12	basic	['chembl25']	CCOC(=O)c1s/c(=N/c2ccc3oc(=O)ccc3c2)n(CC)c1C
7.46	10.3	3	acidic	['datawarrior']	CCOC(=S)NC(=O)c1ccccc1
7.15	7.42	3	basic	['datawarrior']	CCOC(C)=N
11.37	10.15	6	acidic	['datawarrior']	CCOC(C)=NO
9.36	9.63	7	basic	['chembl25']	CCOC(N)=NC(=N)Nc1ccc(Cl)cc1
3.61	4.04	2	acidic	['datawarrior']	CCOCC(=O)O
4.8	3.33	5	basic	['datawarrior']	CCOCCN(C)c1ccccc1
4.6	4.65	5	basic	['datawarrior']	CCOCCNc1ccc(C)cc1
3.28	3.88	7	basic	['datawarrior']	CCOCCNc1ccc(Cl)cc1
4.99	5.26	5	basic	['datawarrior']	CCOCCNc1ccc(OC)cc1
4.24	4.33	5	basic	['datawarrior']	CCOCCNc1cccc(C)c1
3.67	3.78	5	basic	['datawarrior']	CCOCCNc1cccc(OC)c1
4.04	4.22	5	basic	['datawarrior']	CCOCCNc1ccccc1
8.07	7.01	12	acidic	['chembl25']	CCOC[n+]1ccn(C)c1C=NO
11.8	11.74	1	acidic	['datawarrior']	CCOO
4.0	5.12	7	basic	['datawarrior']	CCOP(=O)(CN1CCOCC1)OCC
5.13	8.97	10	basic	['chembl25']	CCOP(=O)(OCC)C(C)(N)CCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1
7.01	8.66	13	basic	['chembl25']	CCOP(=O)(OCC)C1(C)CCCN1
3.23	5.76	18	acidic	['chembl25']	CCOP(=O)(OCC)c1ccc(-c2cc(=O)o[nH]2)o1
8.4	6.8	41	basic	['chembl25']	CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(CCO)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O
10.7	9.49	41	basic	['chembl25']	CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CNC6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O
4.645	4.35	2	acidic	['datawarrior']	CCO[C@H]1CC1C(=O)O
3.18	2.32	11	basic	['datawarrior']	CCOc1c(C#N)cnc2ccccc12
7.35	4.74	11	acidic	['datawarrior']	CCOc1cc(C)nc(-n2[nH]c(C)cc2=O)n1
9.82	9.64	16	basic	['chembl25']	CCOc1ccc(-c2ccc(CCCN(C)C)cc2)cc1
9.44	6.49	14	acidic	['chembl25']	CCOc1ccc(-n2cc(C=NO)[n+](C)c2)cc1
9.12	6.17	14	acidic	['chembl25']	CCOc1ccc(-n2cc(C=NO)[n+](C)c2SC)cc1
9.24	10.28	9	basic	['datawarrior']	CCOc1ccc(/N=C/N(C)C)cc1
4.54	4.24	2	acidic	['datawarrior']	CCOc1ccc(C(=O)O)c(C)c1
4.64	4.36	2	acidic	['datawarrior']	CCOc1ccc(C(=O)O)cc1
3.46	3.67	21	acidic	['chembl25']	CCOc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1
3.86	3.7	2	acidic	['datawarrior']	CCOc1ccc(C)c(C(=O)O)c1
5.25	5.12	9	basic	['datawarrior']	CCOc1ccc(N)cc1
